,fields.k,fields.q,fields.libelle,fields.iu_ac,fields.geo_point_2d,fields.geo_shape.coordinates,fields.geo_shape.type,fields.t_1h,fields.date_fin,fields.date_debut,fields.iu_nd_amont,fields.etat_trafic,fields.iu_nd_aval,fields.libelle_nd_amont,fields.etat_barre,fields.libelle_nd_aval,geometry.type,geometry.coordinates
41,4.45,1718.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-30T05:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
42,2.15,868.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-30T04:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
43,1.75,683.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-30T03:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
44,2.15,985.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-30T02:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
45,3.15,1349.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-30T01:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
46,4.7,2087.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-30T00:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
47,6.7,2851.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T23:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
48,7.8,3281.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T22:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
49,9.65,3965.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T21:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
50,,,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T20:00:00+00:00,2019-06-01,2005-01-01,2849,Inconnu,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
51,16.35,6214.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T19:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
52,17.45,6309.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T18:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
53,28.2,5213.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T17:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
54,18.8,6462.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T16:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
55,17.45,6334.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T15:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
56,17.25,6415.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T14:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
57,17.5,6435.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T13:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
58,18.35,6557.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T12:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
59,17.5,6378.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T11:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
60,15.9,5931.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T10:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
61,16.1,5957.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T09:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
62,14.95,5491.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T08:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
63,15.2,5355.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T07:00:00+00:00,2019-06-01,2005-01-01,2849,Pré-saturé,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
64,10.2,3874.0,PE_Batignolles,5406,"[48.89875662632699, 2.3160291712781103]","[[2.3193519228, 48.899777396], [2.3162875738, 48.8988437415], [2.3140838242, 48.8981647887], [2.3127195314, 48.8976953276]]",LineString,2021-12-29T06:00:00+00:00,2019-06-01,2005-01-01,2849,Fluide,2087,PE_St_Ouen,Ouvert,SE_Clichy,Point,"[2.3160291712781103, 48.89875662632699]"
